,close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume,macd,macd_signal,macd_hist,macd_EMA50,macd_signal_s1,macd_s1,macd_hist_s1,macd_hist_s2,macd_hist_s3,EMA9,EMA9_s1,EMA5,EMA10,EMA50,EMA50_s1,EMA100,EMA200,EMA300,MA200,MA5,MA5_s1,MA10,MA300,MA10_s1,MA50,CCI,CCI_s1,Money_flow_index14,Mean_Center_MFI,EMA50_Mean_Center_MFI,upperband,middleband,lowerband,stochrsi_K,stochrsi_D,stochrsi_K_s1,stochrsi_D_s1,stochrsi_K_EMA50,stochrsi_K_EMA50_s1,Volume_s1,volume_pct,Volume_pct_s1,VWAP,VWAP_s1,High_s1,Low_s1,Open_s1,Close_s1,High_s2,Low_s2,Open_s2,Close_s2,macd_buy_signal,macd_sell_signal,CCI_buy_signal,CCI_sell_signal,MFI_buy_signal,MFI_sell_signal,VWAP_buy_signal,VWAP_sell_signal,RSI_buy_signal,RSI_sell_signal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,pattern_score,Buy_Signal,Sell_Signal
0,522.45,2024-11-07 09:15:00,NFO,14-NOV-2024,532.0,503.85,532.0,498675,Options,Call,NIFTY,24000.0,12475,,,,,,,,,,522.45,,522.45,522.45,522.45,,522.45,522.45,522.45,,,,,,,,,,,,,,,,,,,,,,,,,517.925,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,523.75,2024-11-07 09:16:00,NFO,14-NOV-2024,523.75,512.95,520.45,498675,Options,Call,NIFTY,24000.0,7225,,,,,,,,,,523.1722222222222,522.45,523.23,523.1650000000001,523.1129999999999,522.45,523.1065,523.10325,523.1021666666666,,,,,,,,,,,,,,,,,,,,,,12475.0,-0.05791024276312218,,518.0808692893401,517.925,532.0,503.85,532.0,522.45,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,520.4,2024-11-07 09:17:00,NFO,14-NOV-2024,526.2,513.9,526.2,498675,Options,Call,NIFTY,24000.0,2600,,,,,,,,,,522.0360655737704,523.1722222222222,521.8894736842105,522.053488372093,522.1722570323957,523.1129999999999,522.1862304589847,522.1931408904926,522.1954329798779,,,,,,,,,,,,,,,,,,,,,,7225.0,-0.0870389909364547,-0.05791024276312218,518.3104540358744,518.0808692893401,523.75,512.95,520.45,523.75,532.0,503.85,532.0,522.45,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,,
3,534.4,2024-11-07 09:18:00,NFO,14-NOV-2024,535.15,520.4,520.4,500675,Options,Call,NIFTY,24000.0,10075,,,,,,,,,,526.2243902439025,522.0360655737704,527.0861538461539,526.1211138613862,525.4150045981607,522.1722570323957,525.3318806369364,525.2907832085449,525.2771537288475,,,,,,,,,,,,,,,,,,,,,,2600.0,0.002874763451842637,-0.0870389909364547,521.2557915057915,518.3104540358744,526.2,513.9,526.2,520.4,523.75,512.95,520.45,523.75,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,537.35,2024-11-07 09:19:00,NFO,14-NOV-2024,538.2,527.4,531.8,500675,Options,Call,NIFTY,24000.0,12625,,,,,,,,,,529.5340076154212,526.2243902439025,531.0263033175356,529.3446216740848,527.9967037267241,525.4150045981607,527.8326011282091,527.7511034016173,527.724024194137,,527.67,,,,,,,,,,,,,,,,,,,,10075.0,0.00860351579632605,0.002874763451842637,524.4945833333334,521.2557915057915,535.15,520.4,520.4,534.4,526.2,513.9,526.2,520.4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,530.5,2024-11-07 09:20:00,NFO,14-NOV-2024,538.35,528.55,537.1,500675,Options,Call,NIFTY,24000.0,14025,,,,,,,,,,529.7958452597796,529.5340076154212,530.8339849624061,529.6447133341934,528.4567305107489,527.9967037267241,528.2996892644725,528.220782541764,528.1944320283839,,529.28,527.67,,,,,,,,,,,,,,,,,,,12625.0,0.0091513349882274,0.00860351579632605,526.6224904701397,524.4945833333334,538.2,527.4,531.8,537.35,535.15,520.4,520.4,534.4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,516.3,2024-11-07 09:21:00,NFO,14-NOV-2024,530.35,516.3,530.35,505125,Options,Call,NIFTY,24000.0,7500,,,,,,,,,,526.3804068609189,529.7958452597796,525.6881495871784,526.4291734906797,526.5048561902609,528.4567305107489,526.4808970072811,526.4663009659067,526.4610551981621,,527.79,529.28,,,,,,,,,,,,,,,,,,,14025.0,-0.004576948054314679,0.0091513349882274,526.2507328072153,526.6224904701397,538.35,528.55,537.1,530.5,538.2,527.4,531.8,537.35,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,518.7,2024-11-07 09:22:00,NFO,14-NOV-2024,523.35,515.5,516.3,505125,Options,Call,NIFTY,24000.0,3475,,,,,,,,,,524.534660662157,526.3804068609189,523.2641871530533,524.6707492725559,525.3873207357676,526.5048561902609,525.438854665788,525.4611977439072,525.4681364893772,,527.45,527.79,,,,,,,,,,,,,,,,,,,7500.0,-0.017685432087230998,-0.004576948054314679,525.9118839285715,526.2507328072153,530.35,516.3,530.35,516.3,538.35,528.55,537.1,530.5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,505.0,2024-11-07 09:23:00,NFO,14-NOV-2024,521.5,505.0,518.7,505125,Options,Call,NIFTY,24000.0,6300,,,,,,,,,,520.0220571372474,524.534660662157,517.013530853894,520.3910825943016,522.7430878408269,525.3873207357676,522.9819979837491,523.0957371921521,523.1327826830415,,521.5699999999999,527.45,,,,,,,,,,,,,,,,,,,3475.0,-0.00470487577006393,-0.017685432087230998,524.8664072739188,525.9118839285715,523.35,515.5,516.3,518.7,530.35,516.3,530.35,516.3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,495.05,2024-11-07 09:24:00,NFO,14-NOV-2024,505.4,495.05,505.0,508625,Options,Call,NIFTY,24000.0,4325,,,,,,,,,,514.4268667125767,520.0220571372474,509.5631529513142,515.0680319678278,519.4493308094578,522.7430878408269,519.9307787326468,520.1632836514817,520.2395097534102,,513.11,521.5699999999999,520.39,,,,,,,,,,,,,,,,,,6300.0,-0.00967116112206445,-0.00470487577006393,523.5445581395348,524.8664072739188,521.5,505.0,518.7,505.0,523.35,515.5,516.3,518.7,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
